"","matches","worst_case","most_parts","expected","entropy"
"1","0,0","kkrw","rrww","rrww","bwwy"
"2","0,1","gkrr","grrw","grrw","gwwy"
"3","0,2","gkrr","gkrr","rwkg","gkwy"
"4","0,3","bgbk","gkbr","grkb","gkrw"
"5","0,4","ggbb","bgbb","bgbb","gkbb"
"6","1,0","bkrr","brrw","brwy","gwwy"
"7","1,1","bbkr","brbw","brbw","bkwy"
"8","1,2","bgbk","bgbr","brkg","bkwk"
"9","1,3","NA","bgkb","bgkb","bbgk"
"10","2,0","bgkr","bgrg","brbw","bkwy"
"11","2,1","bggk","bgrk","bgrg","bkwk"
"12","2,2","bgbk","bgbg","bgbg","bbgr"
"13","3,0","bggk","grbk","bgrw","bkwy"
"14","4,0","bbgg","bbgk","bbgk","bgkr"
